"","n","Delta1","Delta1 Std Error","Delta2","Delta2 Std Error","Delta3","Delta3 Std Error"
"1",2,1.13007579309923,0.018701727747198,0.853946753621635,0.0161384834209029,0.797805483860354,0.00480305984638547
"2",3,1.69250057482524,0.0199937176826118,0.888652642963925,0.0153299832601282,0.886138914661817,0.0030516631087894
"3",4,2.05802029687668,0.019209535173297,0.879292242907428,0.0147172563055316,0.921339605806464,0.00223215453005804
"4",5,2.32721508710289,0.0204532350250671,0.864099286695393,0.0139956376278606,0.940030713349239,0.00163507052833511
"5",6,2.53469833862581,0.0192542231341968,0.847880187901498,0.0138530470746716,0.95154232390325,0.00142429399579189
"6",7,2.70334847994912,0.0185065890886319,0.83173781606364,0.0133897691464392,0.959437947319429,0.00111747778070441
"7",8,2.84667116658181,0.0185460900329775,0.819666191381205,0.0138098847795741,0.965041482020105,0.00105418087015374
"8",9,2.97032425508464,0.0174953296961163,0.807438354020575,0.0128649589897428,0.969363373001366,0.000892375463926727
"9",10,3.07687110737033,0.0170365527793922,0.797503159321385,0.0133046717883998,0.972603084035979,0.000856845917453396
"10",11,3.17233729514718,0.018066452901598,0.787117754196694,0.0133830185798805,0.97533967484624,0.000750564787445787
"11",12,3.25703221949349,0.0173392390444115,0.778364398187658,0.0130423745965076,0.977544766609489,0.000718086107271591
"12",13,3.33660959545165,0.0172664049887092,0.770724188739006,0.0126775577666485,0.979414044170435,0.000629968114079418
"13",14,3.40635084082134,0.016399852661182,0.763219358051324,0.0123200793085728,0.980975403741837,0.000545994313978303
"14",15,3.47073880074317,0.0168867885242199,0.755635334506934,0.0126087717203914,0.982324983337671,0.000553322700926385
"15",16,3.53320504695564,0.0172732955944458,0.748567403695853,0.0131980615073124,0.98353231627597,0.000518806743905074
"16",17,3.58883605132101,0.0170034120810348,0.744415727245982,0.0124117943650076,0.98449078071497,0.000461255852872796
"17",18,3.64097403708263,0.0160703352594014,0.738644221675708,0.0114987863502116,0.985402242396021,0.000446676754232856
"18",19,3.68745705976881,0.0153344770176401,0.732481226967278,0.0126655416439977,0.986235275801086,0.000428788279754348
"19",20,3.73666458245887,0.0159039806846915,0.728216814386847,0.0119724271087692,0.98696000576423,0.000417441287588689
"20",21,3.77884025196798,0.0161916824476372,0.724415806322639,0.0123088615006121,0.987583307646842,0.00041890776090838
"21",22,3.82003554991518,0.015931052768937,0.719727242385776,0.0117551414297212,0.988205569687249,0.000349170482816284
"22",23,3.85908529646325,0.0163765507939406,0.714587005059273,0.0120992781540161,0.988733964086588,0.000346650445987632
"23",24,3.89548553299222,0.0167349846739973,0.711879112411152,0.0111132911151989,0.989184392385127,0.000332623662071441
"24",25,3.93169283721057,0.0163844279032452,0.708462964282208,0.0123582724954465,0.989644408279409,0.000321413074777501
"25",26,3.96508437802451,0.0161560806386088,0.705007081968318,0.0115269718327013,0.990048374123802,0.000298205157440683
"26",27,3.99541873403406,0.0154113044887898,0.701772833691091,0.012245779102648,0.990421836904455,0.000301976284339792
"27",28,4.02929325949906,0.0157534707628568,0.698812460108578,0.0120334004038579,0.990777616471104,0.000294095804079905
"28",29,4.05666027639294,0.0156432555954142,0.695275176014179,0.0124916371674747,0.99110804210234,0.000275365204481612
"29",30,4.08590145814311,0.0145720675850838,0.692581319575928,0.0123279742168785,0.991418558713471,0.00026957849736005
"30",31,4.11362528876197,0.0153330089594634,0.689966471391523,0.0122048361055595,0.991703451956125,0.000255663014695152
