Index,DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
1,2/29/2020,1,0,0
2,3/1/2020,0,0,0
3,3/2/2020,0,0,0
4,3/3/2020,1,1,0
5,3/4/2020,5,2,0
6,3/5/2020,3,8,0
7,3/6/2020,8,5,0
8,3/7/2020,7,6,0
9,3/8/2020,21,15,0
10,3/9/2020,57,30,0
11,3/10/2020,70,49,0
12,3/11/2020,155,73,1
13,3/12/2020,357,79,0
14,3/13/2020,619,144,0
15,3/14/2020,642,154,2
16,3/15/2020,1036,196,5
17,3/16/2020,2121,329,8
18,3/17/2020,2452,359,8
19,3/18/2020,2973,491,20
20,3/19/2020,3707,569,24
21,3/20/2020,4007,705,47
22,3/21/2020,2637,730,44
23,3/22/2020,2580,760,50
24,3/23/2020,3571,1110,82
25,3/24/2020,4503,1242,95
26,3/25/2020,4874,1396,123
27,3/26/2020,5049,1540,190
28,3/27/2020,5120,1499,218
29,3/28/2020,3479,1436,274
30,3/29/2020,3562,1468,292
31,3/30/2020,6131,1831,325
32,3/31/2020,5465,1795,385
33,4/1/2020,5453,1754,447
34,4/2/2020,5755,1731,499
35,4/3/2020,5669,1683,498
36,4/4/2020,3866,1427,512
37,4/5/2020,3786,1394,580
38,4/6/2020,6365,1807,575
39,4/7/2020,6049,1686,599
40,4/8/2020,5581,1613,569
41,4/9/2020,5071,1480,561
42,4/10/2020,4514,1390,540
43,4/11/2020,3731,1156,542
44,4/12/2020,2888,1034,572
45,4/13/2020,3313,1262,570
46,4/14/2020,4147,1128,510
47,4/15/2020,3877,1003,455
48,4/16/2020,3528,900,414
49,4/17/2020,3584,896,385
50,4/18/2020,2172,665,390
51,4/19/2020,2346,586,399
52,4/20/2020,3794,706,364
53,4/21/2020,3065,651,324
54,4/22/2020,3462,575,313
55,4/23/2020,2842,505,332
56,4/24/2020,2535,515,316
57,4/25/2020,1597,362,264
58,4/26/2020,1003,339,247
59,4/27/2020,2290,392,271
60,4/28/2020,2729,396,229
61,4/29/2020,2342,328,240
62,4/30/2020,2022,284,225
63,5/1/2020,1890,294,210
64,5/2/2020,1059,224,191
65,5/3/2020,786,217,177
66,5/4/2020,1551,251,159
67,5/5/2020,1514,226,152
68,5/6/2020,1399,231,151
69,5/7/2020,1236,193,142
70,5/8/2020,1082,207,131
71,5/9/2020,657,142,100
72,5/10/2020,458,112,103
73,5/11/2020,1232,186,104
74,5/12/2020,1285,135,91
75,5/13/2020,1335,148,83
76,5/14/2020,1112,146,70
77,5/15/2020,875,136,86
78,5/16/2020,486,92,83
79,5/17/2020,359,81,77
80,5/18/2020,898,112,59
81,5/19/2020,1004,126,55
82,5/20/2020,1080,89,81
83,5/21/2020,1070,91,45
84,5/22/2020,1045,113,65
85,5/23/2020,458,72,60
86,5/24/2020,469,82,49
87,5/25/2020,468,84,49
88,5/26/2020,1053,73,38
89,5/27/2020,745,83,49
90,5/28/2020,647,76,38
91,5/29/2020,646,92,43
92,5/30/2020,349,55,54
93,5/31/2020,230,63,39
94,6/1/2020,687,80,34
95,6/2/2020,574,68,38
96,6/3/2020,516,79,43
97,6/4/2020,523,73,33
98,6/5/2020,403,58,28
99,6/6/2020,247,42,35
100,6/7/2020,198,53,25
101,6/8/2020,451,61,40
102,6/9/2020,420,61,33
103,6/10/2020,365,60,32
104,6/11/2020,367,54,21
105,6/12/2020,410,58,24
106,6/13/2020,197,38,15
107,6/14/2020,180,43,24
108,6/15/2020,379,56,20
109,6/16/2020,420,63,18
110,6/17/2020,356,51,20
111,6/18/2020,378,55,17
112,6/19/2020,362,53,17
113,6/20/2020,203,31,19
114,6/21/2020,172,40,28
115,6/22/2020,398,52,25
116,6/23/2020,383,47,27
117,6/24/2020,381,49,25
118,6/25/2020,296,46,19
119,6/26/2020,310,40,20
120,6/27/2020,206,39,21
121,6/28/2020,203,36,19
122,6/29/2020,436,49,24
123,6/30/2020,442,48,23
124,7/1/2020,397,43,12
125,7/2/2020,418,48,24
126,7/3/2020,231,27,21
127,7/4/2020,120,29,14
128,7/5/2020,153,25,16
129,7/6/2020,434,59,16
130,7/7/2020,461,48,13
131,7/8/2020,436,33,20
132,7/9/2020,391,48,10
133,7/10/2020,308,43,10
134,7/11/2020,255,33,13
135,7/12/2020,223,26,11
136,7/13/2020,484,50,17
137,7/14/2020,401,41,10
